D,R
0,Inf
0.0149005658774507,2.10326415163089
0.0608405767465735,1.39994296193665
0.0667570012595038,1.35369271107754
0.0727483521697492,1.3109133171786
0.0743213104857871,1.30045513473444
0.0642186767559651,1.37378808031095
0.0565571496884685,1.43763419484963
0.0733775535990363,1.30781983750801
0.109359359455663,1.1087223152651
0.144076551527902,0.971327226391919
0.219171303218056,0.762075259607947
0.274410940165544,0.650236345276747
0.30909153126666,0.591324229751038
0.324330833381584,0.567900134532785
0.315074038034572,0.58306401856489
0.296546409355011,0.61409859646023
0.28106553855319,0.64168660786728
0.278993509656382,0.646214428972951
0.293275003392998,0.622130108349165
0.320891673432677,0.578059792102022
0.355196454817612,0.528252199510115
0.367320038716766,0.512497860768763
0.361606527664255,0.52141474447911
0.348513654273931,0.54098526597062
0.338301011559081,0.557040153756317
0.342603578213108,0.55195967926752
0.362908198935358,0.524465560217485
0.401008685398757,0.475899393649924
0.436521314810034,0.434880130800406
0.46945527892418,0.399978817776139
0.47535618271347,0.395259842603389
0.466621682296477,0.406120787638971
0.454147438288545,0.4213203605941
0.456936926263151,0.419973968343331
0.465679532794117,0.412279838237497
0.496273139624976,0.382315257312034
0.5,0.341313357474765
0.5,0.318510093485874
0.5,0.299743726221489
0.5,0.303445293610675
0.5,0.315480711872345
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
